,ROI,Mean_CV
125,right_lateral_ventricle,0.0058689638995208454
126,right_occipital,0.009189477142877631
127,right_pallidum,0.012551286374010116
128,right_parietal,0.008690146187475057
129,right_putamen,0.00905218171043848
130,right_temporal,0.012309067976204843
131,right_thalamus,0.006684307060789437
132,right_total_lateral_ventricle,0.007597505521132402
133,right_ventraldc,0.010341180497498381
134,right_wm_hypointensities,0.0365048273885799
135,sort_key,0.0
136,temporal,0.011362890637694705
137,thalamus,0.0052264735378897914
138,total_intracranial_volume,0.002001085768040461
139,total_lateral_ventricle,0.006393630829438927
140,unknown,0.0001920015418410783
141,ventraldc,0.008371738003376844
142,whole_brain,0.0052189346253735305
143,wm_hypointensities,0.02706319454284081
